Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"510 CLARIDGE Place, Waterloo, ON",Single Family,1179000,3215,6539,3,3
"48 ISAIAH Drive, Kitchener, ON",MultiFamily,1199900,3229,7185,5,3
"365 BENNINGTON Gate Unit# 13, Waterloo, ON",Condo,599900,2058,3538,3,4
"154 HISTAND TRAIL, Kitchener, ON",Single Family,1249000,N/A,6097,4,3
"552 WISSLER Road, Waterloo, ON",Single Family,1200000,3063,N/A,4,3
"194 BORDEN Avenue S, Kitchener, ON",Single Family,724900,1730,3843,5,4
"63 WHEATFIELD CRESCENT, Kitchener, ON",Single Family,749999,N/A,4379,5,2
"164 NEWMAN Drive Unit# Lot 59, Cambridge, ON",Single Family,1019999,1413,N/A,3,2
"160 NEWMAN Drive Unit# Lot 58, Cambridge, ON",Single Family,1294999,2427,N/A,4,4
"168 NEWMAN Drive Unit# Lot 60, Cambridge, ON",Single Family,1109999,1547,N/A,3,3
"149 MILL RACE Crescent, St. Jacobs, ON",Single Family,899900,2000,N/A,3,3
"310 BUSHWOOD Court, Waterloo, ON",Single Family,3250000,N/A,N/A,4,6
"904 DEER CREEK Court, Kitchener, ON",Single Family,1680000,3705,7700,3,4
"51 MADELEINE Street, Kitchener, ON",Single Family,699000,1640,N/A,3,2
"175 WISSLER ROAD, Waterloo, ON",Single Family,1299000,N/A,6283,7,5
"37 SUMMIT Avenue, Kitchener, ON",Single Family,824900,1675,N/A,4,2
"275 LARCH Street Unit# B02 in Building G, Waterloo, ON",Condo,319000,440,N/A,1,1
"144 PARK Street Unit# 102, Waterloo, ON",Condo,1150000,1600,5879,3,3
"11 SHELDON Avenue S, Kitchener, ON",Single Family,745000,N/A,N/A,3,2
"23 - 476 KINGSCOURT DRIVE, Waterloo, ON",Condo,499900,N/A,3092 (2024),3,2
"102-104 BLUCHER Street, Kitchener, ON",MultiFamily,599000,2230,N/A,5,2
"102-104 BLUCHER Street, Kitchener, ON",Single Family,599000,2230,N/A,5,2
"784 BELMONT AVENUE W, Kitchener, ON",Single Family,899000,N/A,N/A,3,2
"B05 - 269 SUNVIEW STREET, Waterloo, ON",Condo,439000,N/A,N/A,1,1
"910 DOON VILLAGE Road, Kitchener, ON",Vacant Land,739900,N/A,2497,N/A,0
"H101 - 275 LARCH STREET, Waterloo, ON",Condo,399000,N/A,N/A,2,2
"269 SUNVIEW Street Unit# B05, Waterloo, ON",Condo,439000,811,N/A,1,1
"140 DINISON CRESCENT, Kitchener, ON",Single Family,797999,N/A,N/A,6,3
"2707 - 108 GARMENT STREET, Kitchener, ON",Condo,499900,N/A,N/A,2,1
"15 STAUFFER WOODS Trail Unit# J39, Kitchener, ON",Condo,451900,782,N/A,1,1
"27 VERONA Street, Kitchener, ON",Single Family,765000,N/A,4366,3,3
"99 ROGER Street Unit# 52, Waterloo, ON",Condo/Townhome,739900,1800,3795,3,3
"214 KINGSWOOD Drive Unit# 6, Kitchener, ON",Condo/Townhome,524900,N/A,N/A,2,3
"240 HIGHLAND Crescent Unit# 3, Kitchener, ON",Condo,479900,1005,N/A,2,2
"918 DOON VILLAGE Road, Kitchener, ON",Single Family,2225000,4385,2400,4,5
"922 DOON VILLAGE Road, Kitchener, ON",Single Family,2192000,4479,2400,4,5
"960 DOON VILLAGE Road, Kitchener, ON",Single Family,2335000,3103,2582,4,4
"910 DOON VILLAGE Road, Kitchener, ON",Single Family,1910000,2431,2497,2,4
"914 DOON VILLAGE Road, Kitchener, ON",Single Family,2185000,4319,2400,4,5
"1510 - 60 CHARLES STREET W, Kitchener, ON",Condo,429000,N/A,3309,1,1
"276 KENNETH Avenue, Kitchener, ON",Single Family,599000,2475,N/A,4,2
"351 THORNCREST Drive, Waterloo, ON",Single Family,834900,1885,4225,3,2
"363 CANADA PLUM Street, Waterloo, ON",Single Family,1274900,2823,N/A,4,5
"36 - 35 BRECKENRIDGE DRIVE, Kitchener, ON",Condo/Townhome,469900,N/A,N/A,2,1
"39 MCDOUGALL Road, Waterloo, ON",Single Family,2195000,N/A,12292,4,3
"1460 HIGHLAND Road W Unit# 9E, Kitchener, ON",Condo,423000,650,2304,1,1
"182 DOON MILLS Drive, Kitchener, ON",Single Family,1219900,4583,7548,6,5
"175 COMMONWEALTH STREET Unit# 103, Kitchener, ON",Condo,474900,858,3080,2,2
"264 SHAKESPEARE Drive, Waterloo, ON",Single Family,1499000,3710,N/A,5,4
"1 - 318 DOLPH STREET S, Cambridge, ON",MultiFamily,1975,N/A,N/A,2,1
"173 WOODBEND Crescent, Waterloo, ON",Single Family,1269000,N/A,5106,5,4
"563 HALLMARK Drive, Waterloo, ON",Single Family,899900,N/A,N/A,4,3
"144 PARK Street Unit# 1005, Waterloo, ON",Condo,635000,1058,N/A,3,2
"312 PARKVALE Drive, Kitchener, ON",Single Family,599990,N/A,3526,3,3
"121 HALDIMAND Street, Kitchener, ON",Single Family,1100000,N/A,N/A,4,4
"931 GLASGOW Street Unit# 2C, Kitchener, ON",Condo,590000,1480,2970,3,2
"399 QUEEN Street S Unit# 102, Kitchener, ON",Condo,435000,761,N/A,1,1
"119 CHARLOTTE Place, Kitchener, ON",Single Family,1200000,2846,N/A,4,3
"1273 MICHAEL Crescent, Cambridge, ON",Single Family,770000,2216,4158,5,3
"150 KINGSWOOD Drive Unit# C, Kitchener, ON",Condo/Townhome,585000,1738,N/A,3,3
"G212 - 275 LARCH STREET, Waterloo, ON",Condo,489900,N/A,N/A,2,2
"283 FAIRWAY Road N Unit# 405, Kitchener, ON",Condo,379000,N/A,N/A,2,1
"1260 KING STREET E, Cambridge, ON",Single Family,849900,N/A,N/A,4,3
"414 WILD CALLA STREET, Waterloo, ON",Single Family,1099900,N/A,5739,4,4
"230 DOON MILLS DRIVE, Kitchener, ON",Single Family,1298900,N/A,N/A,5,4
"51 HETT Avenue, Kitchener, ON",Single Family,728000,2015,N/A,3,2
"751 AUTUMN WILLOW Drive, Waterloo, ON",Single Family,1248900,2823,N/A,4,4
"552 BALSAM POPLAR Street, Waterloo, ON",Single Family,1249900,2456,N/A,4,4
"737 AUTUMN WILLOW Drive, Waterloo, ON",Single Family,1329900,3209,N/A,4,4
"70 HICKORY HEIGHTS Crescent, Kitchener, ON",Single Family,644900,2004,3576,3,2
"944 CALEDONIAN View Unit# 305, Cambridge, ON",Condo,465900,1046,N/A,2,1
"205 SCHLUETER Street, Cambridge, ON",Single Family,449900,700,N/A,2,1
"707 - 375 KING STREET N, Waterloo, ON",Condo,345000,N/A,N/A,2,1
"307 - 60 FREDERICK STREET, Kitchener, ON",Condo,549900,N/A,4000,2,2
"308 SHADY GLEN CRESCENT, Kitchener, ON",Single Family,999999,N/A,5854,4,3
"33 HAMPTON Place, Kitchener, ON",Single Family,599900,N/A,4340,4,2
"24 ROSEWOOD Drive, Kitchener, ON",Single Family,799900,2706,5435,3,2
"25 - 470 LINDEN DRIVE, Cambridge, ON",Condo/Townhome,699900,N/A,N/A,3,3
"469 ZELLER Drive, Kitchener, ON",Single Family,989000,N/A,6654,4,4
"15 BRUCE PARK Court, Cambridge, ON",Single Family,600000,N/A,3621,3,2
"105 LANCASTER Street W, Kitchener, ON",Single Family,689900,1278,3375,3,2
"48 HICKSON Drive, Kitchener, ON",Single Family,799000,1687,N/A,4,2
"27 WESTCHESTER Drive, Kitchener, ON",Single Family,949900,1550,4213,3,3
"G304 - 275 LARCH STREET, Waterloo, ON",Condo,429999,N/A,N/A,2,1
"228 INGLESIDE Place, Kitchener, ON",Single Family,699900,1612,N/A,5,2
"398 VICTORIA Street S, Kitchener, ON",Single Family,649900,900,N/A,3,2
"267 ERB Street E, Waterloo, ON",Single Family,799900,2012,4480,5,3
"223 PIONEER Drive Unit# G52, Kitchener, ON",Condo,675000,1612,N/A,3,2
"917 DEER CREEK Court, Kitchener, ON",Single Family,1375000,3787,6872,4,4
"60 FREDERICK Street Unit# 1507, Kitchener, ON",Condo,479900,690,N/A,2,2
"511 - 103 ROGER STREET, Waterloo, ON",Condo,395000,N/A,N/A,1,1
"4 - 740 LINDEN DRIVE, Cambridge, ON",Condo/Townhome,829000,N/A,5200,3,3
"108 GARMENT Street Unit# 1105, Kitchener, ON",Condo,572500,815,N/A,2,2
"460 WOOLWICH Street Unit# 28, Waterloo, ON",Condo,745000,N/A,N/A,3,3
"122 WILFRED Avenue, Kitchener, ON",Single Family,628000,1441,2876,3,2
"104 SHADELAND Crescent, Kitchener, ON",MultiFamily,700000,1220,3068,4,2
"299 OTTAWA Street N, Kitchener, ON",MultiFamily,1149900,3427,N/A,6,4
"275 LARCH Street Unit# G304, Waterloo, ON",Condo,429999,519,N/A,2,1
"104 SHADELAND Crescent, Kitchener, ON",Single Family,700000,1220,3068,3,2
"126 ALBERT Street, Waterloo, ON",MultiFamily,999900,N/A,N/A,9,2
"605 SUNDEW Drive, Waterloo, ON",Single Family,1190000,2240,N/A,4,3
"126 ALBERT Street, Waterloo, ON",Single Family,999900,N/A,N/A,9,2
"187 HISTAND TRAIL, Kitchener, ON",Single Family,1299000,N/A,N/A,8,4
"35 FRANKFURT Street, Kitchener, ON",Single Family,769900,2465,N/A,3,3
"120 MANSION Street Unit# 505, Kitchener, ON",Condo,399900,637,N/A,1,1
"55 DUKE STREET WEST Unit# 1701, Kitchener, ON",Condo,540000,853,3539,2,2
"299 OTTAWA Street N, Kitchener, ON",Single Family,1149900,3427,N/A,6,4
"10 ELLEN Street E Unit# 103, Kitchener, ON",Condo,284900,425,1324,0,1
"441 WOODROW Drive, Waterloo, ON",Single Family,1325000,N/A,N/A,5,3
"67 BELWOOD Crescent, Kitchener, ON",Single Family,700000,1829,3500,4,2
"1652 FISCHER HALLMAN Road Unit# D, Kitchener, ON",Condo,383000,649,N/A,1,1
"1 - 424 ARGYLE STREET S, Cambridge, ON",MultiFamily,1700,N/A,N/A,1,1
"448 TAMARACK Drive, Waterloo, ON",Single Family,889900,2138,N/A,4,2
"11 MCDOUGALL Road N, Waterloo, ON",Single Family,789999,2042,N/A,9,2
"181 KENT Avenue, Kitchener, ON",Single Family,739000,2652,4200,5,2
"118 CHRISTOPHER Drive, Waterloo, ON",Single Family,679999,1549,N/A,3,2
"100 GARMENT Street Unit# 301, Kitchener, ON",Condo,450000,1009,3767,2,1
"350 FISHER MILLS ROAD, Cambridge, ON",Condo,499999,N/A,N/A,2,1
"87 SIMEON Street, Kitchener, ON",Single Family,699900,1163,3491,4,1
"276 EIWO Court Unit# 105, Waterloo, ON",Condo,432000,866,N/A,2,1
"114 HOLLYBROOK TRAIL, Kitchener, ON",Single Family,799000,N/A,N/A,3,4
"203 - 103 ROGER ST STREET, Waterloo, ON",Condo,389900,N/A,N/A,1,1
"403 KEATS Way Unit# 4, Waterloo, ON",Condo,599000,1250,N/A,3,3
"30 BRIDGE Street W Unit# 206, Kitchener, ON",Condo,400000,800,N/A,2,1
"15 WELLINGTON Street S Unit# 303, Kitchener, ON",Condo,399900,560,N/A,1,1
"55 GREEN VALLEY Drive Unit# 1006, Kitchener, ON",Condo,459000,998,N/A,2,2
"D-14 - 10 PALACE STREET, Kitchener, ON",Condo,498888,N/A,N/A,2,2
"50 HOWE Drive Unit# 15D, Kitchener, ON",Condo,439900,755,N/A,1,1
"15 GRAND HILL DRIVE, Kitchener, ON",Single Family,1788888,N/A,N/A,3,3
"284 KRUG Street, Kitchener, ON",Single Family,599900,1763,3704,3,2
"12 ROPER Place, Kitchener, ON",Single Family,729700,1518,N/A,3,3
"219 MISTY Court, Kitchener, ON",Single Family,799900,2477,5359,4,3
"133 HOLLYBROOK TRAIL, Kitchener, ON",Condo,799900,N/A,3588,3,3
"285 COURTLAND Avenue E, Kitchener, ON",Single Family,525000,1400,N/A,3,2
"250 APPLE HILL CRESCENT, Kitchener, ON",Single Family,799000,N/A,N/A,4,4
"830 RIVERBANK Drive, Cambridge, ON",Single Family,1049000,2425,N/A,3,2
"201 - 223 ERB STREET W, Waterloo, ON",Condo,729900,N/A,4750,3,2
"38 HUCK CRESCENT, Kitchener, ON",Single Family,950000,N/A,N/A,3,3
"547 PHILIP Crescent, Cambridge, ON",Single Family,755000,1975,4550,4,2
"76 WOOLWICH Street Unit# 8, Kitchener, ON",Condo,599900,N/A,3423,2,3
"206 - 283 FAIRWAY ROAD N, Kitchener, ON",Condo,348000,N/A,N/A,2,1
"66 MOUNTAIN MINT Crescent, Kitchener, ON",Single Family,949900,N/A,N/A,3,4
"166 WEBER Street N Unit# A, Waterloo, ON",Single Family,595000,1008,3652,4,2
"166 WEBER Street N Unit# A, Waterloo, ON",MultiFamily,595000,1008,3652,4,2
"174 WINDFLOWER Drive, Kitchener, ON",Single Family,699900,1540,N/A,3,2
"323 NORTHLAKE Drive Unit# 4, Waterloo, ON",Condo,375000,N/A,N/A,2,1
"111 NEWPORT Drive, Cambridge, ON",Single Family,749900,2078,4675,4,3
"260 LEMON GRASS CRESCENT, Kitchener, ON",Single Family,999900,N/A,N/A,5,4
"713 - 108 GARMENT STREET, Waterloo, ON",Condo,399900,N/A,N/A,1,1
"134 MARMEL COURT, Cambridge, ON",Single Family,699900,N/A,N/A,3,2
"51 PAULANDER Drive Unit# 38, Kitchener, ON",Condo,504900,N/A,N/A,3,2
"230 BLACKHORNE Drive Unit# 19, Kitchener, ON",Condo,629000,N/A,N/A,3,2
"55 DUKE Street W Unit# 1007, Kitchener, ON",Condo,475000,681,3322,1,1
"69 BANFFSHIRE STREET, Kitchener, ON",Single Family,934999,N/A,N/A,3,3
"3 CROSSMORE Crescent, Cambridge, ON",Single Family,949900,3100,N/A,6,5
"375 KING Street Unit# 1002, Waterloo, ON",Condo,435000,1210,2083,3,2
"4 WESTGATE Walk, Kitchener, ON",Single Family,4500000,7481,N/A,4,7
"1180 COUNTRYSTONE Drive Unit# 2, Kitchener, ON",Condo/Townhome,569900,1216,N/A,3,2
"173 DEER RIDGE Drive, Kitchener, ON",Single Family,1025000,2452,N/A,4,4
